,Date,Site,Temp,Pop,Brooders,Gaping,Dead,Closed,Total,PercentBrooders,PercentGaping,PercentDead,PercentClosed,Tide
2,5/16/2014,Fidalgo,9,N,0,53,0,46,99,0,0.535353535,0,0.464646465,-2.27
3,5/24/2014,Fidalgo,10,N,0,24,0,86,110,0,0.218181818,0,0.781818182,1.12
4,5/30/2014,Fidalgo,10,N,0,46,0,50,96,0,0.479166667,0,0.520833333,-1.46
5,6/6/2014,Fidalgo,10,N,1,59,2,36,97,0.010309278,0.608247423,0.020618557,0.371134021,3.13
6,6/13/2014,Fidalgo,7,N,0,68,1,27,96,0,0.708333333,0.010416667,0.28125,-2.81
7,6/20/2014,Fidalgo,8,N,0,76,0,34,110,0,0.690909091,0,0.309090909,2.14
8,6/27/2014,Fidalgo,9,N,1,87,0,6,93,0.010752688,0.935483871,0,0.064516129,-1.42
9,7/4/2014,Fidalgo,9,N,1,82,0,13,95,0.010526316,0.863157895,0,0.136842105,2.58
10,7/11/2014,Fidalgo,16,N,0,78,0,17,95,0,0.821052632,0,0.178947368,-2.57
11,7/18/2014,Fidalgo,10,N,0,68,0,40,108,0,0.62962963,0,0.37037037,2.05
12,7/25/2014,Fidalgo,11,N,0,55,0,45,100,0,0.55,0,0.45,-0.78
13,8/1/2014,Fidalgo,10,N,0,28,0,68,96,0,0.291666667,0,0.708333333,2.39
14,8/8/2014,Fidalgo,11,N,5,89,0,10,99,0.050505051,0.898989899,0,0.101010101,-1.66
16,5/14/2014,Manchester,9,N,0,31,0,28,59,0,0.525423729,0,0.474576271,-1.63
17,5/21/2014,Manchester,10,N,0,40,3,48,91,0,0.43956044,0.032967033,0.527472527,0.87
18,5/28/2014,Manchester,13,N,0,54,15,28,97,0,0.556701031,0.154639175,0.288659794,-1.83
19,6/4/2014,Manchester,8,N,0,43,15,32,90,0,0.477777778,0.166666667,0.355555556,1.7
20,6/11/2014,Manchester,9,N,0,41,8,12,61,0,0.672131148,0.131147541,0.196721311,-1.75
21,6/18/2014,Manchester,7,N,0,73,2,12,87,0,0.83908046,0.022988506,0.137931034,0.19
22,6/25/2014,Manchester,10,N,1,53,23,19,95,0.010526316,0.557894737,0.242105263,0.2,-1.49
23,7/2/2014,Manchester,10,N,0,40,20,18,78,0,0.512820513,0.256410256,0.230769231,0.94
24,7/9/2014,Manchester,11,N,0,45,12,2,59,0,0.762711864,0.203389831,0.033898305,-1.12
25,7/16/2014,Manchester,10,N,0,61,6,8,75,0,0.813333333,0.08,0.106666667,-0.28
26,7/23/2014,Manchester,8,N,0,60,10,9,79,0,0.759493671,0.126582278,0.113924051,-0.6
27,7/30/2014,Manchester,11,N,0,45,12,7,64,0,0.703125,0.1875,0.109375,0.86
28,8/6/2014,Manchester,18,N,0,45,4,5,54,0,0.833333333,0.074074074,0.092592593,-0.14
30,5/15/2014,Oyster Bay,13,N,0,46,7,14,67,0,0.686567164,0.104477612,0.208955224,-2.43
31,5/22/2014,Oyster Bay,13,N,0,3,93,5,101,0,0.02970297,0.920792079,0.04950495,2.31
32,5/29/2014,Oyster Bay,15,N,2,51,6,10,67,0.029850746,0.76119403,0.089552239,0.149253731,-2
33,6/5/2014,Oyster Bay,13,N,1,52,7,8,67,0.014925373,0.776119403,0.104477612,0.119402985,2.97
34,6/12/2014,Oyster Bay,15,N,2,48,8,1,57,0.035087719,0.842105263,0.140350877,0.01754386,-2.47
35,6/19/2014,Oyster Bay,16,N,3,54,8,1,63,0.047619048,0.857142857,0.126984127,0.015873016,1.93
36,6/26/2014,Oyster Bay,14,N,7,156,26,2,184,0.038043478,0.847826087,0.141304348,0.010869565,-1.72
37,7/3/2014,Oyster Bay,15,N,0,49,0,1,50,0,0.98,0,0.02,2.14
38,7/10/2014,Oyster Bay,16,N,8,73,3,2,78,0.102564103,0.935897436,0.038461538,0.025641026,-2.19
39,7/17/2014,Oyster Bay,16,N,0,48,1,1,50,0,0.96,0.02,0.02,1.42
40,7/24/2014,Oyster Bay,15,N,3,68,0,10,78,0.038461538,0.871794872,0,0.128205128,-0.85
41,7/31/2014,Oyster Bay,17,N,1,50,0,0,50,0.02,1,0,0,1.84
42,8/7/2014,Oyster Bay,15,N,3,71,0,7,78,0.038461538,0.91025641,0,0.08974359,-1.05
44,5/16/2014,Fidalgo,9,H,0,48,0,52,100,0,0.48,0,0.52,-2.27
45,5/24/2014,Fidalgo,10,H,0,53,0,30,83,0,0.638554217,0,0.361445783,1.12
46,5/30/2014,Fidalgo,10,H,0,50,1,40,91,0,0.549450549,0.010989011,0.43956044,-1.46
47,6/6/2014,Fidalgo,10,H,0,58,0,33,91,0,0.637362637,0,0.362637363,3.13
48,6/13/2014,Fidalgo,7,H,0,72,0,27,99,0,0.727272727,0,0.272727273,-2.81
49,6/20/2014,Fidalgo,8,H,0,77,0,10,87,0,0.885057471,0,0.114942529,2.14
50,6/27/2014,Fidalgo,9,H,0,65,0,28,93,0,0.698924731,0,0.301075269,-1.42
51,7/4/2014,Fidalgo,9,H,1,88,0,9,97,0.010309278,0.907216495,0,0.092783505,2.58
52,7/11/2014,Fidalgo,16,H,0,70,0,28,98,0,0.714285714,0,0.285714286,-2.57
53,7/18/2014,Fidalgo,10,H,2,32,0,50,82,0.024390244,0.390243902,0,0.609756098,2.05
54,7/25/2014,Fidalgo,11,H,2,50,0,36,86,0.023255814,0.581395349,0,0.418604651,-0.78
55,8/1/2014,Fidalgo,10,H,0,84,0,2,86,0,0.976744186,0,0.023255814,2.39
56,8/8/2014,Fidalgo,11,H,3,67,0,15,82,0.036585366,0.817073171,0,0.182926829,-1.66
58,5/14/2014,Manchester,9,H,0,25,0,72,97,0,0.257731959,0,0.742268041,-1.63
59,5/21/2014,Manchester,10,H,0,16,2,66,84,0,0.19047619,0.023809524,0.785714286,0.87
60,5/28/2014,Manchester,13,H,0,27,0,58,85,0,0.317647059,0,0.682352941,-1.83
61,6/4/2014,Manchester,8,H,0,55,11,23,89,0,0.617977528,0.123595506,0.258426966,1.7
62,6/11/2014,Manchester,9,H,0,63,2,31,96,0,0.65625,0.020833333,0.322916667,-1.75
63,6/18/2014,Manchester,7,H,0,63,4,12,79,0,0.797468354,0.050632911,0.151898734,0.19
64,6/25/2014,Manchester,10,H,1,52,7,33,92,0.010869565,0.565217391,0.076086957,0.358695652,-1.49
65,7/2/2014,Manchester,10,H,0,52,20,8,80,0,0.65,0.25,0.1,0.94
66,7/9/2014,Manchester,11,H,1,60,5,21,86,0.011627907,0.697674419,0.058139535,0.244186047,-1.12
67,7/16/2014,Manchester,10,H,1,56,8,17,81,0.012345679,0.691358025,0.098765432,0.209876543,-0.28
68,7/23/2014,Manchester,8,H,1,67,7,9,83,0.012048193,0.807228916,0.084337349,0.108433735,-0.6
69,7/30/2014,Manchester,11,H,1,45,9,11,65,0.015384615,0.692307692,0.138461538,0.169230769,0.86
70,8/6/2014,Manchester,18,H,2,77,12,5,94,0.021276596,0.819148936,0.127659574,0.053191489,-0.14
72,5/15/2014,Oyster Bay,13,H,0,49,7,33,89,0,0.550561798,0.078651685,0.370786517,-2.43
73,5/22/2014,Oyster Bay,13,H,0,47,51,9,107,0,0.439252336,0.476635514,0.08411215,2.31
74,5/29/2014,Oyster Bay,15,H,1,80,7,2,89,0.011235955,0.898876404,0.078651685,0.02247191,-2
75,6/5/2014,Oyster Bay,13,H,2,79,7,3,89,0.02247191,0.887640449,0.078651685,0.033707865,2.97
76,6/12/2014,Oyster Bay,15,H,1,86,8,1,95,0.010526316,0.905263158,0.084210526,0.010526316,-2.47
77,6/19/2014,Oyster Bay,16,H,0,70,9,7,86,0,0.813953488,0.104651163,0.081395349,1.93
78,6/26/2014,Oyster Bay,14,H,1,92,4,1,97,0.010309278,0.948453608,0.041237113,0.010309278,-1.72
79,7/3/2014,Oyster Bay,15,H,3,66,4,4,74,0.040540541,0.891891892,0.054054054,0.054054054,2.14
80,7/10/2014,Oyster Bay,16,H,6,83,3,3,89,0.06741573,0.93258427,0.033707865,0.033707865,-2.19
81,7/17/2014,Oyster Bay,16,H,5,68,6,1,75,0.066666667,0.906666667,0.08,0.013333333,1.42
82,7/24/2014,Oyster Bay,15,H,4,72,4,6,82,0.048780488,0.87804878,0.048780488,0.073170732,-0.85
83,7/31/2014,Oyster Bay,17,H,1,59,2,8,69,0.014492754,0.855072464,0.028985507,0.115942029,1.84
84,8/7/2014,Oyster Bay,15,H,2,80,0,6,86,0.023255814,0.930232558,0,0.069767442,-1.05
86,5/16/2014,Fidalgo,9,S,0,55,0,0,55,0,1,0,0,-2.27
87,5/24/2014,Fidalgo,10,S,0,77,0,0,77,0,1,0,0,1.12
88,5/30/2014,Fidalgo,10,S,0,77,1,55,133,0,0.578947368,0.007518797,0.413533835,-1.46
89,6/6/2014,Fidalgo,10,S,0,53,1,26,80,0,0.6625,0.0125,0.325,3.13
90,6/13/2014,Fidalgo,7,S,7,83,1,39,123,0.056910569,0.674796748,0.008130081,0.317073171,-2.81
91,6/20/2014,Fidalgo,8,S,1,83,0,8,91,0.010989011,0.912087912,0,0.087912088,2.14
92,6/27/2014,Fidalgo,9,S,3,87,0,4,91,0.032967033,0.956043956,0,0.043956044,-1.42
93,7/4/2014,Fidalgo,9,S,6,71,0,21,92,0.065217391,0.77173913,0,0.22826087,2.58
94,7/11/2014,Fidalgo,16,S,11,81,0,11,92,0.119565217,0.880434783,0,0.119565217,-2.57
95,7/18/2014,Fidalgo,10,S,0,67,0,26,93,0,0.720430108,0,0.279569892,2.05
96,7/25/2014,Fidalgo,11,S,6,72,0,32,104,0.057692308,0.692307692,0,0.307692308,-0.78
97,8/1/2014,Fidalgo,10,S,3,45,0,49,94,0.031914894,0.478723404,0,0.521276596,2.39
98,8/8/2014,Fidalgo,11,S,2,70,0,23,93,0.021505376,0.752688172,0,0.247311828,-1.66
99,4/30/2014,Manchester,9.5,S,0,0,0,43,43,0,0,0,1,-1.5
100,5/14/2014,Manchester,9,S,0,43,0,37,80,0,0.5375,0,0.4625,-1.63
101,5/21/2014,Manchester,10,S,0,76,3,6,85,0,0.894117647,0.035294118,0.070588235,0.87
102,5/28/2014,Manchester,13,S,0,43,9,3,55,0,0.781818182,0.163636364,0.054545455,-1.83
103,6/4/2014,Manchester,8,S,0,60,3,28,91,0,0.659340659,0.032967033,0.307692308,1.7
104,6/11/2014,Manchester,9,S,0,49,12,1,62,0,0.790322581,0.193548387,0.016129032,-1.75
105,6/18/2014,Manchester,7,S,1,55,10,10,75,0.013333333,0.733333333,0.133333333,0.133333333,0.19
106,6/25/2014,Manchester,10,S,0,50,2,13,65,0,0.769230769,0.030769231,0.2,-1.49
107,7/2/2014,Manchester,10,S,0,31,4,2,37,0,0.837837838,0.108108108,0.054054054,0.94
108,7/9/2014,Manchester,11,S,0,55,22,6,83,0,0.662650602,0.265060241,0.072289157,-1.12
109,7/16/2014,Manchester,10,S,3,59,12,48,119,0.025210084,0.495798319,0.100840336,0.403361345,-0.28
110,7/23/2014,Manchester,8,S,2,59,1,3,63,0.031746032,0.936507937,0.015873016,0.047619048,-0.6
111,7/30/2014,Manchester,11,S,1,69,10,14,93,0.010752688,0.741935484,0.107526882,0.150537634,0.86
112,8/6/2014,Manchester,18,S,4,50,11,15,76,0.052631579,0.657894737,0.144736842,0.197368421,-0.14
113,5/1/2014,Oyster Bay,11,S,0,0,0,1,1,0,0,0,1,-1.53
114,5/15/2014,Oyster Bay,13,S,0,59,8,11,78,0,0.756410256,0.102564103,0.141025641,-2.43
115,5/22/2014,Oyster Bay,13,S,0,2,68,12,82,0,0.024390244,0.829268293,0.146341463,2.31
116,5/29/2014,Oyster Bay,15,S,5,74,9,2,85,0.058823529,0.870588235,0.105882353,0.023529412,-2
117,6/5/2014,Oyster Bay,13,S,2,60,12,30,102,0.019607843,0.588235294,0.117647059,0.294117647,2.97
118,6/12/2014,Oyster Bay,15,S,3,63,11,6,80,0.0375,0.7875,0.1375,0.075,-2.47
119,6/19/2014,Oyster Bay,16,S,11,80,12,7,99,0.111111111,0.808080808,0.121212121,0.070707071,1.93
120,6/26/2014,Oyster Bay,14,S,11,85,10,25,120,0.091666667,0.708333333,0.083333333,0.208333333,-1.72
121,7/3/2014,Oyster Bay,15,S,9,78,0,10,88,0.102272727,0.886363636,0,0.113636364,2.14
122,7/10/2014,Oyster Bay,16,S,10,82,0,2,84,0.119047619,0.976190476,0,0.023809524,-2.19
123,7/17/2014,Oyster Bay,16,S,0,75,1,38,114,0,0.657894737,0.00877193,0.333333333,1.42
124,7/24/2014,Oyster Bay,15,S,8,75,4,7,86,0.093023256,0.872093023,0.046511628,0.081395349,-0.85
125,7/31/2014,Oyster Bay,17,S,0,70,0,1,71,0,0.985915493,0,0.014084507,1.84
126,8/7/2014,Oyster Bay,15,S,10,80,0,22,102,0.098039216,0.784313725,0,0.215686275,-1.05
